,Symbol,Identifier,Company,ISIN
349,SUNTV,SUNTVEQN,Sun TV Network Limited,INE424H01027
350,HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025
351,GLAXO,GLAXOEQN,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016
352,AWL,AWLEQN,Adani Wilmar Limited,INE699H01024
353,MRF,MRFEQN,MRF Limited,INE883A01011
354,BAYERCROP,BAYERCROPEQN,Bayer Cropscience Limited,INE462A01022
355,3MINDIA,3MINDIAEQN,3M India Limited,INE470A01017
356,UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016
357,SUNDRMFAST,SUNDRMFASTEQN,Sundram Fasteners Limited,INE387A01021
358,NYKAA,NYKAAEQN,FSN E-Commerce Ventures Limited,INE388Y01029
359,COFORGE,COFORGEEQN,Coforge Limited,INE591G01017
360,BATAINDIA,BATAINDIAEQN,Bata India Limited,INE176A01028
361,LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017
362,BDL,BDLEQN,Bharat Dynamics Limited,INE171Z01026
363,BANKINDIA,BANKINDIAEQN,Bank of India,INE084A01016
364,CGPOWER,CGPOWEREQN,CG Power and Industrial Solutions Limited,INE067A01029
365,JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020
366,LODHA,LODHAEQN,Macrotech Developers Limited,INE670K01029
